step,avg_interval_loss,train_ppl,lr,grad_norm,interval_sec,steps_per_sec,sec_per_step,examples_seen,approx_epochs,batch_input_len,batch_label_len,cuda_mem_alloc_gb,cuda_mem_peak_gb,text_eval_sec,text_samples,text_batches,bleu,chrf,comet,bleu_en_to_ar,bleu_ar_to_en,chrf_en_to_ar,chrf_ar_to_en
1,10.462250590324402,34970.16646693252,6.249999999999999e-07,1.37552011013031,32.607574224472046,0.03066772134338954,32.607574224472046,128,8.591457406507493e-05,18,13,0.8223676681518555,1.5751042366027832,6.148005247116089,64,4,0.0,0.0,,0.0,0.0,0.0,0.0
40,10.258649673217382,28528.237728079843,2.4999999999999998e-05,1.317533254623413,22.501630783081055,1.7332077117416773,0.5769648918738732,5120,0.003436582962602997,22,17,0.8301205635070801,2.530808925628662,5.399893760681152,64,4,0.01621261229547527,0.1269173024552422,,0.031034985634963506,0.013361412998697272,0.20558850357962258,0.05905279319711823
80,9.643259024620056,15417.50798248065,4.9999999999999996e-05,1.2452787160873413,21.214444398880005,1.8855077817692816,0.5303611099720001,10240,0.006873165925205994,20,18,0.8319659233093262,2.742704391479492,5.955496549606323,64,4,0.011525851132347859,1.5433838610532638,,0.019105408246540934,0.018897125352550094,0.17486011191047163,2.136586881282252
120,9.024222823977471,8301.760037184007,7.5e-05,0.9573113918304443,21.936217069625854,1.8234684619066017,0.5484054267406464,15360,0.01030974888780899,24,25,0.8454413414001465,2.743406295776367,5.222936153411865,64,4,0.05489925928983871,1.5545720423266567,,0.07450803158669382,0.025230090347350725,0.7025986681624493,2.7185944075877537
160,8.461528727412224,4729.282257692678,9.999999999999999e-05,0.7914824485778809,23.55783176422119,1.6979491321756783,0.5889457941055297,20480,0.013746331850411988,19,24,0.8433799743652344,2.744596481323242,4.633065700531006,64,4,0.01191289318184579,2.474117924702953,,0.02196623608199151,0.018052196830855943,1.1891027066175646,2.918984161635927
200,8.109838439524173,3327.0404682295703,0.000125,1.0375443696975708,21.787829637527466,1.8358873125712256,0.5446957409381866,25600,0.017182914813014986,22,19,0.8339352607727051,2.744596481323242,7.994539022445679,64,4,0.04354343971697688,1.6109888107285266,,0.06750702082055457,0.01973346450137839,1.5534805338177076,1.6722934277042252
240,7.872043065726757,2622.918913463841,0.00015,0.8838388919830322,25.33855652809143,1.5786218901480933,0.6334639132022857,30720,0.02061949777561798,15,18,0.8318123817443848,2.744596481323242,6.122214078903198,64,4,0.04043025517643021,1.8058521951251416,,0.05223648422847534,0.042378541474154506,0.8584833558764323,2.782615953487862
280,7.6441364422440525,2088.364373677748,0.000175,1.5936942100524902,19.997232675552368,2.000276770740485,0.4999308168888092,35840,0.024056080738220978,21,19,0.8339047431945801,2.744596481323242,4.682246446609497,64,4,0.0329675941949695,2.6035368666578567,,0.04672599501884696,0.04605349390271199,1.2357482167723282,3.5234216791121287
320,7.458902060985565,1735.2418213797534,0.00019999999999999998,0.9264503717422485,24.328723907470703,1.6441470646850107,0.6082180976867676,40960,0.027492663700823976,13,15,0.8260288238525391,2.744596481323242,4.881681442260742,64,4,0.02507789536172991,3.065665273349382,,0.02526667617360538,0.03586977914346846,1.5019341485767295,3.8513422388159775
360,7.373074685037136,1592.5227690761485,0.000225,1.0748177766799927,22.645854949951172,1.7663276607751233,0.5661463737487793,46080,0.03092924666342697,16,17,0.8299355506896973,2.744596481323242,4.676621913909912,64,4,0.02734570804412427,2.820154826094522,,0.024139910287723974,0.04342691351463004,1.9159585641112882,3.417102746801076
400,7.24192401766777,1396.7788143118084,0.00025,1.4052906036376953,24.54677391052246,1.6295420386323438,0.6136693477630615,51200,0.03436582962602997,13,15,0.8260288238525391,2.744596481323242,5.912088632583618,64,4,0.05635959190230985,4.096721936400668,,0.018362249227455763,0.10659007685137599,2.9092272490864115,5.071208118676272
440,7.112182262539863,1226.8218744067672,0.00027499999999999996,1.0709736347198486,103.86773252487183,0.3851051623796806,2.5966933131217957,56320,0.03780241258863296,25,17,0.8302130699157715,2.744596481323242,6.19242787361145,64,4,0.04562635056043214,3.5708752602669183,,0.01979676470775276,0.0882404561896225,2.5346149714853836,4.481219528307471
480,7.009702853858471,1107.3254185342184,0.0003,1.137604832649231,22.71703004837036,1.7607935506899353,0.567925751209259,61440,0.04123899555123596,16,17,0.8299355506896973,2.744596481323242,4.581923007965088,64,4,0.07049994523904803,4.290578367595748,,0.0600786665312472,0.0930448800341058,2.464326209019198,6.155516384406976
520,6.93639467060566,1029.0534422677308,0.00029999892712158474,1.1602872610092163,22.71122407913208,1.7612436855287554,0.567780601978302,66560,0.04467557851383896,31,24,0.8437490463256836,2.747465133666992,5.102934122085571,64,4,0.07320324178688395,4.855269554237998,,0.029904593844469713,0.11113131757842297,3.633888209225506,5.930761362955404
560,6.816094587743282,912.4146873248872,0.0002999957085033919,1.2195968627929688,23.384171724319458,1.710558769049756,0.5846042931079865,71680,0.048112161476441956,22,21,0.8377504348754883,2.747465133666992,5.905332088470459,64,4,0.028976820822015376,4.3648343966527055,,0.045364978736477504,0.026271977374486173,3.9922741538445634,4.730527323670752
600,6.733712756633759,840.2611670206888,0.0002999903441965798,1.1100029945373535,21.371090173721313,1.87168739052842,0.5342772543430329,76800,0.051548744439044954,16,24,0.843287467956543,2.747465133666992,4.358521223068237,64,4,0.08099932030860411,6.15408589863662,,0.060547263175247994,0.10916807764504648,4.821602789711409,7.138602398650772
640,6.613748712837696,745.271597866263,0.00029998283428641135,1.2463632822036743,21.638060569763184,1.848594511094752,0.5409515142440796,81920,0.05498532740164795,19,20,0.8357501029968262,2.747465133666992,4.428268671035767,64,4,0.049833249549853124,5.0970795563665385,,0.06276967669385246,0.07015925353712023,4.756905311333581,5.358857387925886
680,6.5750040546059605,716.9485312899342,0.0002999731788922528,1.3164016008377075,23.10936999320984,1.7308996312644216,0.577734249830246,87040,0.05842191036425094,59,54,0.9018344879150391,2.747465133666992,6.446813344955444,64,4,0.23716974515412126,6.224192793556662,,0.0645108840049974,0.3323146493238119,5.749235520393907,6.464728701282191
720,6.451646108925343,633.7446473827473,0.00029996137816757176,1.2221920490264893,22.755816221237183,1.757792364427229,0.5688954055309295,92160,0.06185849332685394,21,14,0.8243675231933594,2.747465133666992,5.684052467346191,64,4,0.13933696308681076,6.418188289674294,,0.05946224512443634,0.20584673900068193,6.430079775424844,6.409282040627269
760,6.368118430674076,582.9599168186381,0.0002999474322999348,1.3918328285217285,22.188677072525024,1.8027212649612951,0.5547169268131256,97280,0.06529507628945694,18,21,0.8376274108886719,2.747465133666992,5.677441596984863,64,4,0.09099655525211973,5.900807068740665,,0.11200419637812209,0.10125627104364833,6.386896845828417,5.380947606240042
800,6.313546139001846,551.9989471850664,0.0002999313415110044,1.3684794902801514,24.05595302581787,1.662790077660623,0.6013988256454468,102400,0.06873165925205994,16,18,0.8318428993225098,2.747465133666992,4.45486044883728,64,4,0.15972618942630842,8.02063313931358,,0.07792036580995436,0.23108734672930786,6.378544860057099,8.780748638841915
840,6.294331100583077,541.4935205266763,0.0002999131060565356,1.2377588748931885,71.63772988319397,0.5583649853955506,1.7909432470798494,107520,0.07216824221466293,21,22,0.8396272659301758,2.747465133666992,4.5915257930755615,64,4,0.10042961890656471,6.723397001694361,,0.05036336636442488,0.16443359108442773,5.035023691685274,7.812869605836865
880,6.2158750027418135,500.6338535909567,0.0002998927262263716,1.3996788263320923,23.859972953796387,1.6764478349350165,0.5964993238449097,112640,0.07560482517726592,23,21,0.8377809524536133,2.747465133666992,6.114595413208008,64,4,0.23288761528071178,7.3801435405561,,0.09991922492397179,0.3397512668481259,6.136417377773359,8.165389229245575
